"id","name","year","rank"
323514,"Taken In: Lives of America's Foster Children, The",1998,
323516,Takeover,1980,
323517,Takeover,1987,
323518,Takeover,1991,
323519,"Takeover, The",1995,
323520,Takeover: The Trials of Eddie Hatcher,1999,
323521,"Takers, The",1971,
323522,Taketori monogatari,1960,
323523,Taketori monogatari,1987,6.8
323524,"Takh, De",2001,
323525,Takhir i Zukhra,1945,
323526,Takht Bahi: The Buddha Monastery,1994,
323527,Takht-E-Toofan,1931,
323528,Takhti,1997,
323529,Takht siah,2000,6.8
323530,Taki no shiraito,1933,7.7
323531,Takiaispallo,1970,
323532,Takiji Kobayashi,1974,
323533,Takilleitor,1997,3.5
323534,Takim me Arbresht,1965,
323535,Takim me artin revolucionar kinez,1971,
323536,Takim vllazror,1958,
323537,Takime n Xhakarta -Indonezi,1964,
323538,Takimet ne Helsinki,1962,
323539,Takimi n liqen,1943,
323540,Takin It Outside,1998,
323542,Takin' It Back to the Streets,1998,8.6
323553,Takin' It to the Limit 9,1996,
323556,Taking a Chance,1912,
323557,Taking a Chance,1916,
323558,Taking a Chance,1928,
323559,Taking a Film,1915,
323560,Taking a Line for a Walk: A Homage to the Work of Paul Klee,1983,
323561,Taking a Part,1979,
323562,Taking a Rest,1916,
323563,Taking a Stand,1989,
323564,Taking Back My Life: The Nancy Ziegenmeyer Story,1992,
323565,Taking Back Our Town,2001,
323566,Taking Back the Y,2001,
323567,Taking Care,1987,
323568,Taking Care of Business,1990,5.8
323569,Taking Care of Mother Baldwin,1970,
323570,Taking Care of Terrific,1987,
323571,Taking Chances,1917,
323572,Taking Chances,1922,
323573,Taking Chances,1925,
323574,Taking Chances,1979,
323575,Taking Charge,1996,
323576,Taking Control,1992,
323577,Taking Father's Dinner,1912,
323578,Taking Flight: The Development of 'Superman',2001,
323579,Taking His Chance,1914,
323580,Taking His Medicine,1911,
323581,Taking It to the Streets,1986,
323582,Taking It Up the Butt,1995,
323583,Taking Liberty,1993,4.2
323584,Taking Lives,2004,5.6
323585,Taking My Turn,1984,
323586,"Taking of Beverly Hills, The",1991,4.0
323588,"Taking of Flight 847: The Uli Derickson Story, The",1988,
323589,"Taking of Luke McVane, The",1915,
323590,"Taking of Mustang Pete, The",1915,
323591,"Taking of Pelham One Two Three, The",1974,7.6
323592,"Taking of Pelham One Two Three, The",1998,
323593,"Taking of Reno, The",1988,
323594,Taking Off,1971,7.0
323595,Taking Off,1984,
323596,Taking On the Kennedys,1996,
323597,Taking on the Pilot,1897,
323598,Taking Orders,1923,
323599,Taking Our Bodies Back,1974,
323600,Taking Out the Dead and Wounded,1903,
323601,"Taking President McKinley's Body from Train at Canton, Ohio",1901,
323602,Taking Responsibility for Your Actions,1953,
323603,Taking Sides,2001,7.5
323604,Taking Stock,1994,
323605,Taking the Air,1927,
323606,Taking the Blame,1935,
323607,Taking the Count,1916,
323608,Taking the Count,1928,
323609,Taking the Count,1937,
323610,Taking the Dead from the Ruins [Galveston],1900,
323611,Taking the Heat,1993,
323612,Taking the Plunge,1999,9.0
323613,Taking the Punishment Poll,2002,
323614,Taking the Westside,2003,
323615,Taking the Wheel,2002,7.6
323616,Taking Their Medicine,1917,
323617,Taking Things Easy,1919,
323618,Taking Things Easy,1922,
323619,Taking Tiger Mountain,1983,9.8
323620,Taking Time to Feel,1978,
323621,Takip,1981,
323622,Takiye vysokiye gory,1974,
323623,"Takiye zhe, kak my!",1980,
323624,Takkar,1980,
323625,Takkar,1995,7.4
323626,Takkari Donga,2002,
323627,Takkaridonga,1984,
323628,Takki ja liivit pois,1939,
323629,Takky onsen,1998,7.8
323630,Takmer ruzovy prbeh,1990,
323631,Tako je ako vam se tako cini,1968,
323632,Tako no hone,1927,
323633,Tako sawagi,1936,
323634,Tako se kalio celik,1988,7.0
323635,Takoj bolshoj malchik,1966,
323636,Takot ako sa darling ko,1997,
323637,Takot ka ba sa dilim,1996,
323638,"Takot mabuhay, takot mamatay",1964,
323639,Takova laska,1963,
323640,Takov je zivot,1929,7.0
323641,Takraar,1985,
323642,Taksaal,1956,
323643,Taksi,1990,6.1
323644,Taksi 2,1991,
323645,Taksi sofr (1976/I),1976,
323646,Taksi-Blyuz,1990,6.7
323647,Taksista,2003,
323649,"Takt, tone og tosser",1925,
323650,Taktazane Sahra,1968,
323651,Taktikk,1999,
323652,"Taku Road, The",1901,
323653,Takuku kankei,1968,
323654,Takva pjesma sve osvaja,1958,
323655,Taky Kimura: The Dragon's Legacy,2000,
323656,Takze ahoj,1970,
323657,Tal Bhairav,1929,
323658,Tal der Ahnungslosen,2003,
323659,"Tal der Schatten, Das",1999,4.4
323660,"Tal der sieben Monde, Das",1966,
323661,"Tal Dulcinea, Una",1963,
323662,Tal Farlow,1958,
323663,Tal for dig selv,2004,
323664,Tal Henry and His North Carolinians,1929,
323665,Tal para cual,1952,
323666,"Tal ragone: Deconstruyendo a pa, Un",2002,
323667,Tal vez maana...,1979,
323668,Tal vez Tokio,2001,
323669,Tala and Rhythm,1971,
323670,Tala med mig systrar,1998,
323671,Tala! Det r s mrkt,1993,6.2
323672,Talaaq,1938,
323673,Talaash,1957,
323674,Talaash: The Hunt Begins...,2003,3.6
323675,Talaashi,1996,
323676,Talafi,1999,
323677,Talahib,1963,
323678,Talahib at rosas,1994,
323679,Talahib at rosas 2,1999,
323680,Talak Suad hanem,1948,
323681,Talambralu,1987,
323682,Talampaya,1971,
323683,Talanty i poklonniki,1956,
323684,Talaq,1958,
323685,Talarso,1916,
323686,Talash,1969,8.3
323687,Talashe Haq,1935,
323688,Talat loussuss,1966,
323689,Talat rijal wa emraa,1961,
323690,Talat warissat,1960,
323691,"Talata yuhebbunaha, El",1966,
323692,Talaye sefid,1962,
323693,Talaye sorkh,2003,7.2
323694,Talchul,1975,
323695,Talchul myeongryeong,1966,
323696,Talchul shibchilshi,1968,
323697,Talco para lo negro,1992,
323698,"Tale as Old as Time: The Making of Disney's 'Beauty and the Beast', A",2002,
323699,"Tale of a Black Eye, The",1913,
323700,"Tale of a Cat, The",1911,
323701,"Tale of a Cat, The",1912,
323702,"Tale of a Clock, The",1913,
323703,Tale of a Dog,1944,
323704,"Tale of a Dog, The",1959,
323705,"Tale of a Hat, The",1913,
323706,"Tale of a Kangaroo, A",1917,
323707,"Tale of a Lonely Coast, The",1913,
323708,"Tale of a Lonesome Dog, The",1914,
323709,"Tale of a Monkey, The",1917,
323710,"Tale of a Pig, The",1918,
323711,"Tale of a Shirt, The",1916,
323712,"Tale of a Shirt, The",1919,
323713,"Tale of a Shirt, The",1922,
323714,"Tale of a Shirt, The",1933,
323715,"Tale of a Soldier's Ring, The",1911,
323716,"Tale of a Terrier, A",1920,
323717,Tale of a Tiger,1984,3.0
323718,Tale of a Tower,1971,
323719,Tale of a Trotter,1956,5.1
323720,"Tale of a Turk, A",1916,
323721,Tale of a Vampire,1992,4.8
323722,Tale of a Wag,1920,
323723,"Tale of a Whale, The",1916,
323724,Tale of a Wolf,1960,
323725,"Tale of Arcite and Palamon, The",1998,
323726,Tale of Bearded Clam,1971,
323727,"Tale of Beatrix Potter, The",1982,
323728,Tale of Cinderella,1998,
323729,"Tale of Despereaux, The",2006,
323730,Tale of Egypt,1998,
323731,"Tale of Five Cities, A",1951,4.2
323732,"Tale of His Pants, The",1915,
323733,"Tale of Love, A",1995,2.8
323734,"Tale of Mail, A",1966,
323735,"Tale of Nippoless Nippleby, The",1992,
323736,"Tale of Ruby Rose, The",1988,8.2
323737,"Tale of Sweeney Todd, The",1998,
323738,"Tale of Sweety Barrett, The",1998,6.0
323739,"Tale of Tails, A",1912,
323740,"Tale of the 'C', The",1915,
323741,Tale of the Ark,1909,
323742,"Tale of the Australian Bush, A",1911,
323743,"Tale of the Bunny Picnic, The",1986,
323744,"Tale of the Coat, The",1914,
323745,"Tale of the Desert, A",1914,
323746,"Tale of the Dog, The",1920,
323747,"Tale of the Floating World, The",2001,8.1
323748,Tale of the Mummy,1998,3.6
323749,Tale of the Navajos,1949,
323750,"Tale of the Night Before, The",1915,
323751,"Tale of the Rat That Wrote, The",1999,6.4
323752,"Tale of the Rope, The",1993,
323753,"Tale of the Sea, A",1910,
323754,"Tale of the Three Lost Jewels, The",1994,7.4
323755,Tale of the Vienna Woods,1934,
323756,"Tale of the West, A",1909,
323757,"Tale of the West, A",1913,
323758,Tale of the Western Chamber,1927,
323759,"Tale of the Wilderness, A",1912,
323760,Tale of Three Women,1954,
323762,"Tale of Twenty Stories, The",1915,
323764,"Tale of Two Cafes, A",1946,
323765,"Tale of Two Cities, A",1907,
323766,"Tale of Two Cities, A",1911,
323767,"Tale of Two Cities, A",1917,5.5
323768,"Tale of Two Cities, A",1922,
323769,"Tale of Two Cities, A",1935,8.1
323770,"Tale of Two Cities, A",1958,7.0
323771,"Tale of Two Cities, A",1980,
323772,"Tale of Two Cities, A",1984,
323773,"Tale of Two Critters, A",1977,
323774,"Tale of Two Kitties, A",1926,
323775,"Tale of Two Kitties, A",1942,7.7
323776,"Tale of Two Kitties, A",1996,
323777,"Tale of Two Leaves and a Bud, The",1971,
323778,"Tale of Two Mice, A",1945,6.7
323779,"Tale of Two Nations, A",1917,
323780,"Tale of Two Pizzas, A",2003,7.8
323781,Tale of Two Sisters,1989,2.2
323784,"Tale of Two Turtles, A",2004,
323785,"Tale of Two Wishes, A",1981,
323786,"Tale of Two Wives, A",1966,
323787,"Tale of Two Worlds, A",1921,
323788,Tale of What Happened in Yes City,1975,
323789,Tale Spin: Plunder & Lightning,1990,
323790,"Tale That Is Knot, A",1916,
323791,Talegaoncha Kach Karkhana,1915,
323792,Talegaver til brn - 10 rs jubilum,2003,
323793,Talende film,1923,
323794,Talende film,1925,
323795,Talende film (1928/I),1928,
323796,Talende film (1928/II),1928,
323797,"Talende muse - samtaler med Asta Nielsen, Den",2003,
323798,Talent,1967,
323799,Talent,1979,
323800,Talent,1998,1.6
323801,Talent Agent,1998,
323802,"Talent for Loving, A",1969,4.1
323803,"Talent for Murder, A",1984,
323804,Talent for the Game,1991,5.5
323805,"Talent Girl, The",1980,
323806,"Talent Given Us, The",2004,
323807,Talent Scout,1937,
323808,Talent Scout,1985,
323810,Talent Showcase,1951,
323811,Talent: A Hollywood Gothic,2004,
323812,Talente und Verehrer,1963,
323813,"Talented Mr. Ripley, The",1999,7.0
323814,"Talented Mr. Ripley: Making the Soundtrack, The",1999,
323815,"Talented Tramps, The",1949,
323816,Talenterne 2002 - Runes rutschetur,2002,
323817,Talenterne 2002 - Srens svre valg,2002,
323818,Talentprobe,1981,
323819,"Talentprobe, Die",1921,
323820,Talents Unlimited,1968,
323822,Tales by Taylor,1989,
323823,Tales from a Hard City,1995,7.0
323824,Tales From Beyond,2004,
323825,Tales from Hollywood,1992,
323827,Tales from Muppetland: The Frog Prince,1972,7.7
323828,Tales from the Ackermansion,1999,
323829,Tales From the Back Lot,1994,
323831,Tales from the Black Side II,1997,
323832,Tales from the Cannibal Side,1998,
323833,Tales from the Casting Couch,1992,
323834,Tales from the Chateau,1987,
323837,Tales from the Crypt,1972,6.2
323838,Tales from the Darkside: The Movie,1990,5.5
323839,Tales from the Far Side,1994,
323840,Tales from the Far Side II,1997,
323841,Tales from the Gimli Hospital,1988,6.9
323842,Tales From the Grave,2003,
323843,Tales from the Hollywood Hills: A Table at Ciro's,1987,
323844,Tales from the Hollywood Hills: Golden Land,1988,
323845,Tales from the Hollywood Hills: Natica Jackson,1987,
323846,Tales from the Hollywood Hills: Pat Hobby Teamed with Genius,1987,
323847,Tales from the Hollywood Hills: The Old Reliable,1988,
323848,Tales from the Hood,1995,4.9
323849,Tales From the Mist: Inside 'The Fog',2002,
323850,Tales from the Planet Kolkota,1993,
323851,Tales From the Powder Room,2002,
323852,Tales From the Quadead Zone,1987,
323853,Tales from the Reading Room,2000,
323857,Tales from the Snow Zone,1991,
323859,Tales from the Tomb: Lost Sons of the Pharaohs,1997,
323860,Tales from the Tower,2001,
323861,Tales From the Vienna Woods,1992,6.6
323864,Tales Not Told,2004,
323865,"Tales of a Fish, The",1917,
323866,Tales of a Fly on the Wall,2004,
323868,Tales of a Salesman,1965,
323869,Tales of a Traveler,1927,
323870,Tales of an Island,2000,5.1
323871,Tales of Beatrix Potter,1971,6.7
323872,Tales of Canaan: A Story of Bushwick,2002,
323873,Tales of Destiny,1997,
323874,Tales of Edgar Allan Poe,1986,
323875,Tales of Erotic Fantasies,1999,
323876,Tales of Erotica,1996,3.4
323877,Tales of Eternia,2000,
323878,Tales of Frankenstein,1958,
323879,Tales of Glamour and Excess,1997,
323880,"Tales of Helpmann, The",1990,4.4
323881,"Tales of Hoffmann, The",1951,7.5
323882,Tales of Madness,1999,
323883,Tales of Manhattan,1942,7.3
323884,Tales of Meeting and Parting,1984,
323885,Tales of Mystery and Imagination,1995,
323886,Tales of Phantasia,1995,
323887,Tales of Robin Hood,1951,
323889,Tales of Symphonia,2003,
323890,Tales of Taija Rae,1989,
323891,Tales of Terror,1962,6.5
323892,Tales of Terror and Love,2001,
323893,Tales of the Apple Dumpling Gang,1982,
323895,Tales of the Bronx,1970,
323896,Tales of the Cat,2001,
323897,Tales of the Contaminated City,2002,
323898,Tales of the Gold Monkey,1982,
323900,Tales of the Nunundaga,1976,
323901,Tales of the Tall Timber,1918,
323902,Tales of the Third Dimension,1984,
323903,Tales of the Unexpected,1979,
323904,Tales of the Unknown,1990,2.0
323905,Tales of the Unliving and the Undead,1988,
323906,Tales of the West: The Indians,1994,
323907,"Tales of Tillie's Dragon, The",1995,
323908,Tales of Tomorrow: Our Elders,1982,
323910,Tales of Washington Irving,1970,
323911,Tales Out of School,1958,
323912,"Tales por cuales, Los",1965,
323913,Tales That Witness Madness,1973,4.5
323914,Talespinners Collection I,2001,
323915,Talgo,1983,7.0
323916,"Talgo, el tren espaol",1966,
323917,Tali-Ihantala 1944,2005,
323918,Talih Kusu,1989,9.1
323919,Talihsiz Meryem,1968,
323920,Talihsiz yavru,1960,
323921,Talihsizler,1959,
323922,Talijin trag,1978,
323923,Talipandas,1958,
323924,Talis the Porcupine: The Spagettiflyer,1995,
323925,Talisman,1978,
323926,Talisman,1983,
323927,Talisman,1991,
323928,Talisman,1998,2.9
323929,"Talisman, Der",1987,
323930,"Talisman, The",1966,
323931,"Talisman, The",2005,
323932,Talismi Hira,1934,
323933,Talismi Jazeera,1992,
323934,Talismi Talwar,1934,
323935,"Talismn, El",1917,
323936,Talk,1994,4.5
323937,Talk 16,1991,6.3
323938,Talk 19,1993,
323939,Talk 5.0,2002,
323940,Talk About a Lady,1946,
323941,Talk About a Stranger,1952,6.7
323942,Talk About Jacqueline,1942,
323943,Talk Dirty,2003,
323951,"Talk Dirty to Me, Part 7",1991,
323956,Talk Fast,2001,
323957,"Talk in the Dark, A",1992,
323958,Talk Like Whales,1993,
323959,Talk Mogadishu: Media Under Fire,2003,
323960,Talk of a Million,1951,4.1
323961,Talk of Angels,1998,6.1
323962,"Talk of Hollywood, The",1929,
323963,Talk of the Devil,1937,
323964,Talk of the Devil,1968,
323965,Talk of the Town,1996,
323966,Talk of the Town,2000,
323967,"Talk of the Town, The",1918,
323968,"Talk of the Town, The",1942,7.6
323969,"Talk on Trousers, A",1908,
323970,Talk Radio,1988,6.8
323971,Talk Salo,2002,
323972,Talk Sex,2001,
323973,Talk to Me (1984/I),1984,6.0
323974,Talk to Me (1996/I),1996,
323975,Talk to Me (1996/II),1996,7.0
323976,Talk to Me,1999,
323977,Talk to Me,2000,
323978,Talk to Taka,2000,2.8
323979,Talk to You Later,2000,
323980,Talk to Your Doctor,1992,
323982,Talk with Me! Barbie,1997,
323983,Talkback,1987,
323984,"Talker, The",1925,
323985,Talkie no hanashi,1936,
323986,Talkie of Talkies,1937,
323987,"Talkies, The",1929,
323988,Talkin' Bout Drinkin',1972,
323989,Talkin' Dirty After Dark,1991,4.7
323990,Talkin' Pidgin: Hawaiian Slang,2004,
323991,Talkin' Shop,2000,
323992,Talking About Sex,1994,6.0
323993,Talking About the Weather,1994,
323994,Talking Broken,1990,
323995,"Talking Car, The",1953,
323996,"Talking Car, The",1969,
323998,Talking Daleks,2003,
323999,Talking Dessert,1997,6.8
324000,"Talking Dog, The",1956,
324001,"Talking Eggs, The",1992,5.7
324002,Talking Feet,1937,
324003,Talking Head,1992,7.0
324004,Talking Heads,2001,
324005,Talking Horse Sense,1959,
324006,Talking in Tongues,1987,
324007,Talking In Your Sleep,2004,
324008,"Talking Magpies, The",1946,5.7
324009,"Talking Parcel, The",1979,
324010,Talking Screen Snapshots,1932,
324011,Talking Through My Heart,1936,
324012,Talking to Americans,2001,
324013,Talking to Stan,1999,
324014,Talking to Strange Men,1992,
324015,Talking to Strangers,1988,7.5
324016,Talking to the Wall,1999,
324017,Talking Translation: Sheila Fischman Roch Carrier,1993,
324018,Talking Trash,1995,
324019,Talking Trash 2,1995,
324020,Talking Walls,1987,1.5
324021,Talking Ways,1930,
324022,Talking with,1995,
324023,Talking with Angels,2003,2.4
324024,Talking with Thoreau,1971,
324025,Talking Work,1999,
324026,Talks,2003,
324028,"Tall Guy, The",1989,6.2
324029,"Tall Headlines, The",1952,
324030,Tall in the Saddle,1944,6.7
324031,Tall in the Saddle,1990,
324032,Tall in the Trap,1962,3.3
324033,"Tall Man Executes a Jig by Irving Layton, A",1986,
324034,Tall Man Riding,1955,5.7
324035,"Tall Men, The",1955,5.8
324036,Tall Story,1960,5.6
324037,"Tall Stranger, The",1957,5.6
324038,"Tall T, The",1957,7.6
324039,Tall Tail,1993,
324040,Tall Tale,1995,4.7
324041,Tall Tale Teller,1954,
324042,"Tall Target, The",1951,7.2
324043,"Tall Texan, The",1953,6.6
324044,Tall Timber,1926,
324045,Tall Timber,1928,
324046,Tall Timber Tale,1951,
324047,Tall Timbers,1940,6.4
324048,Tall Time Tales,1992,
324049,Tall Trees,2004,
324050,"Tall Winter's Tale, A",1997,
324051,"Tall, Dark & Handsome",2004,
324052,"Tall, Dark and Deadly",1995,
324053,"Tall, Dark and Gruesome",1948,
324054,"Tall, Dark and Handsome",1941,6.8
324055,"Tall, Dark and Handsome",1987,
324056,"Tall, Stalwart Lancer, A",1969,
324057,"Tall, Tan, and Terrific",1946,
324058,"Tall, the Dark and the Handsome, The",1968,
324059,Talla Pellamma,1970,
324060,Talladega,2002,
324061,Talladega Nights,2006,
324062,Tallenes tale,1949,
324063,Taller de actuacin,1994,
324064,Taller de la vida,1985,
324065,Taller y obra de Villacasas,1975,
324066,"Tallest People in Britain, The",2004,
324067,Talleyrand ou Le sphinx incompris,1972,
324068,Talleyrand ou Les lions de la revanche,1989,
324069,Tallgirl,2002,
324070,Talli Kodukulu,1973,
324071,Talli Tandrulu,1991,
324072,Tallichina Ajna,1961,
324073,Tallinna legendid,1995,
324074,Tallinnan Tuhkimo,1996,
324075,Talliprema,1941,
324076,"Tallone di Achille, Il",1952,
324077,"Tallos amargos, Los",1956,
324078,Tallula!,1998,
324079,Tally,1971,
324080,"Tally Brown, New York",1979,
324081,Tally Ho!,1901,
324082,Tally Ho! Pimple,1915,
324083,Tally Ho: Arrival,1896,
324084,Tally Ho: Departure,1896,
324085,Tally Hokum,1965,
324086,Tally-Ho Departing for the Races,1901,
324087,Talma,1912,
324088,Talmage Farlow,1981,
324089,Talmen,2002,7.5
324090,Talong,1999,
324091,Talons of the Eagle,1992,2.9
324092,Taloompuk,2002,7.6
324093,Talpa,1956,
324094,Talpa,1982,
324095,"Talpa al bioparco, Una",2005,
324096,Talpalatnyi fld,1948,9.0
324097,"Talpra, Gyz!",1982,
324098,Talpuk alatt ftyl a szl,1976,8.2
324099,Talseon,1967,
324100,Talusaling,1955,
324101,Talveh Li Et Ishteha,1988,
324102,Talvisota,1989,7.7
324103,Talwar Ka Dhani,1929,
324104,Talwar Ka Dhani,1938,
324105,Talwar Ka Dhani,1956,
324106,Talwar Ka Pani,1930,
324107,Talwarwala,1946,
324108,Tallkozunk 1972-ben (Sttben-vilgosban),1970,
324109,Tallkozs,1994,
324110,Tallkozs Lukcs Gyrggyel,1972,
324111,Tallkozs-Aprhirdets,1963,
324112,Tallkozsok (Wallenberg),1990,
324113,Talre nad velkm malkovem,1977,
324114,"Taln de Aquiles, El",1974,
